BL,22044.923,3764723.032,4.275
BL,22164.915,3764723.606,4.292
BL,22315.770,3764720.391,4.372
BL,22435.610,3764720.341,4.515
BL,22416.605,3764720.349,4.493
BL,22337.055,3764723.835,4.466
BL,22610.051,3764720.268,4.692
BL,23260.682,3764617.395,30.519
BL,23262.615,3764612.892,30.589
BL,23264.505,3764611.369,30.644
BL,23340.050,3764581.621,31.973
BL,23346.968,3764580.521,32.034
BL,23351.303,3764581.296,32.070
BL,23897.433,3764270.524,14.403
BL,23899.140,3764268.825,14.261
BL,23905.531,3764261.057,13.688
BL,23911.136,3764252.863,13.135
BL,23916.135,3764244.204,12.582
BL,23917.159,3764242.083,12.454
BL,23920.115,3764234.987,12.020
BL,23923.570,3764225.253,11.430
BL,23926.315,3764213.240,10.748
BL,23925.858,3764215.904,10.895
BL,23927.246,3764205.991,10.361
BL,23927.766,3764199.684,10.014
BL,23928.097,3764192.102,9.604
BL,23928.575,3764175.995,8.825
BL,23929.102,3764166.042,8.438
BL,23929.364,3764163.368,8.337
BL,23931.586,3764146.221,7.849
BL,23934.137,3764136.523,7.609
G,32214.612,3764002.786,20.885
SS,20582.497,3764716.669,3.406
MH,21596.934,3764728.313,4.048
SB,21592.298,3764711.625,4.296
SS,21144.539,3764709.870,3.377
SS,21158.391,3764710.008,3.393
SS,21166.860,3764709.828,3.392
SS,21169.561,3764709.703,3.379
SS,21172.262,3764709.587,3.357
SS,21177.700,3764709.564,3.300
SS,21180.435,3764709.653,3.270
SS,21183.172,3764709.745,3.239
SS,21097.118,3764709.736,3.213
SS,21102.219,3764709.628,3.237
SS,21104.768,3764709.555,3.254
SS,21110.115,3764709.590,3.290
SS,21112.911,3764709.833,3.313
SS,21115.706,3764710.088,3.336
SS,21121.326,3764710.075,3.356
SS,21124.149,3764709.775,3.342
SS,21126.974,3764709.491,3.325
SS,21132.543,3764709.487,3.333
SS,21135.286,3764709.592,3.348
SS,21143.034,3764709.833,3.374
SS,21344.588,3764710.959,3.860
SS,21302.513,3764710.750,3.410
SS,21305.392,3764710.699,3.414
SS,21311.069,3764710.710,3.494
SS,21313.867,3764710.733,3.640
SS,21316.665,3764710.760,3.787
SS,21343.536,3764710.967,3.864
SS,21347.150,3764728.783,3.646
SS,21335.982,3764728.564,3.615
SS,21333.141,3764728.464,3.605
SS,21327.603,3764728.450,3.564
SS,21324.907,3764728.540,3.510
SS,21322.210,3764728.639,3.453
SS,21316.715,3764728.727,3.455
SS,21313.918,3764728.747,3.568
SS,21311.120,3764728.757,3.688
SS,21303.773,3764728.709,3.654
SS,21299.223,3764728.638,3.502
SS,21372.268,3764728.963,3.879
SS,21369.469,3764728.961,3.913
SS,21366.671,3764728.955,3.946
SS,21361.015,3764728.919,3.906
SS,21358.159,3764728.888,3.807
SS,21355.303,3764728.856,3.708
SS,21348.382,3764728.792,3.649
SS,21291.486,3764728.423,3.626
SS,21288.775,3764728.331,3.709
SS,21252.585,3764728.400,3.507
SS,21258.407,3764710.298,3.501
SS,21261.145,3764710.204,3.511
SS,20955.219,3764728.246,2.859
SS,20954.746,3764728.244,2.856
SS,20990.900,3764709.029,3.055
SS,21039.294,3764708.151,2.999
SS,20990.223,3764708.981,3.046
SS,21085.643,3764709.764,3.195
SS,21156.047,3764727.873,3.270
SS,21147.861,3764728.179,3.117
SS,21197.115,3764728.018,3.440
SS,21397.410,3764711.251,3.877
SS,21430.584,3764711.506,3.918
SS,21408.441,3764729.407,3.865
SS,21452.126,3764711.341,4.158
CP,21266.262,3764709.503,3.703
CP,21455.421,3764710.749,4.370
SB,21154.409,3764710.215,3.474
SB,21154.409,3764710.215,3.474
SB,21154.324,3764707.017,3.474
SP,21145.341,3764710.151,3.403
SP,21121.604,3764728.437,3.217
SP,21098.374,3764727.496,3.010
SP,21094.404,3764709.857,3.193
SP,21047.334,3764709.772,3.240
SP,21050.755,3764709.248,3.236
SP,21047.661,3764727.395,3.011
SP,20997.095,3764727.307,2.834
SP,20992.279,3764709.442,2.866
SP,20947.945,3764705.173,2.711
SB,20951.303,3764727.984,2.774
SP,20872.777,3764709.440,2.828
CP,21068.515,3764706.936,2.959
CP,20960.931,3764699.798,2.587
CP,20869.367,3764706.003,2.764
PP,21091.949,3764699.877,2.199
Vbhd,20956.887,3764728.643,2.766
Vbhd,20962.008,3764728.772,2.759
