XPL,43155.464,3762987.442,172.391,,,,,,,63,0917CB95-_909,0,115866,EsvCABel
XPL,43151.655,3763005.262,172.062,,,,,,,63,0917CB95-_907,0,115864,EsvCABel
XPL,41376.814,3762933.936,83.589,,,,,,,63,0912TNRB17_579,1.485,102969,EsvCABel
XPL,41363.08,3762930.002,84.277,,,,,,,63,0912TNRB17_581,1.485,102971,EsvCABel
WMKR,40951.356,3763302.498,42.145,,,,,,,69,0912CB110-_825,1.485,102154,svWTRM
WMKR,40859.363,3763367.368,50.901,,,,,,,69,0914CB111-_461,1.485,103453,svWTRM
Vbhd,41403.898,3762807.49,2.888,,,,,,,115,0912TNRB17_589,1.485,102979,vBSHD
Vbhd,41400.869,3762808.654,4.322,,,,,,,115,0912TNRB17_588,1.485,102978,vBSHD
Vbhd,41399.347,3762814.234,4.527,,,,,,,115,0912TNRB17_587,1.485,102977,vBSHD
Vbhd,41398.607,3762823.839,4.532,,,,,,,115,0912TNRB17_586,1.485,102976,vBSHD
Vbhd,41397.564,3762834.096,4.488,,,,,,,115,0912TNRB17_585,1.485,102975,vBSHD
Vbhd,41396.663,3762842.634,4.553,,,,,,,115,0912TNRB17_584,1.485,102974,vBSHD
Vbhd,41395.348,3762854.567,4.792,,,,,,,115,0912TNRB17_583,1.485,102973,vBSHD
Vbhd,41394,3762863.541,4.86,,,,,,,115,0912TNRB17_582,1.485,102972,vBSHD
TW,40110.371,3763189.521,30.608,,,,,,,83,1012CB115-_578,4.6,206261,fWT
TW,40109.716,3763188.395,31.327,,,,,,,83,1012CB115-_577,4.6,206260,fWT
TRF,41591.786,3762492.177,35.835,,,,,,,55,0916TPS02_338,1.485,113744,tTF
TRF,41591.531,3762491.76,35.83,,,,,,,55,0916TPS02_339,1.485,113745,tTF
TRF,41591.227,3762492.539,35.503,,,,,,,55,0916TPS02_340,1.485,113746,tTF
TRF,41590.94,3762492.183,35.52,,,,,,,55,0916TPS02_341,1.485,113747,tTF
TRF,41403.208,3762644.04,7.949,,,,,,,55,0911TB108-_668,1.485,101294,tTF
TRF,41403.045,3762643.656,7.947,,,,,,,55,0911TB108-_667,1.485,101293,tTF
TRF,41402.519,3762644.364,8.055,,,,,,,55,0911TB108-_670,1.485,101296,tTF
TRE,40657.934,3763503.494,65.516,,,,,,,140,0914TB112-_306,2.03,104576,skTREm
TRE,40655.986,3763506.285,64.807,,,,,,,140,0914TB112-_305,1.485,104575,skTREm
TRE,40653.997,3763507.716,64.919,,,,,,,140,0914TB112-_304,1.485,104574,skTREm
TRE,40652.368,3763509.486,65.324,,,,,,,140,0914TB112-_303,2.03,104573,skTREm
TRE,40649.869,3763511.751,64.955,,,,,,,140,0914TB112-_302,1.485,104572,skTREm
TRE,39639.807,3763134.485,10.527,,,,,,,109,0915TB117-_640,1.485,109731,skTREa
TRE,39639.801,3763133.757,10.535,,,,,,,109,0915TB117-_639,1.485,109730,skTREa
TRE,39639.179,3763134.539,10.516,,,,,,,109,0915TB117-_641,1.485,109732,skTREa
TRE,39639.023,3763134.622,10.508,,,,,,,109,0915TB117-_642,1.485,109733,skTREa
TRE,39639.001,3763133.903,10.52,,,,,,,109,0915TB117-_644,1.485,109735,skTREa
TRE,39637.671,3763134.623,10.507,,,,,,,109,0915TB117-_643,1.485,109734,skTREa
TRE,39637.571,3763133.827,10.52,,,,,,,109,0915TB117-_645,1.485,109736,skTREa
TRE,39637.366,3763134.068,10.518,,,,,,,109,0915TB117-_646,1.485,109737,skTREa
TRE,39636.837,3763133.949,10.519,,,,,,,109,0915TB117-_647,1.485,109738,skTREa
TRE,39636.669,3763133.71,10.521,,,,,,,109,0915TB117-_648,1.485,109739,skTREa
TRE,39636.592,3763134.723,10.502,,,,,,,109,0915TB117-_662,1.485,109753,skTREa
TRE,39636.551,3763134.562,10.503,,,,,,,109,0915TB117-_661,1.485,109752,skTREa
TRE,39635.316,3763133.603,10.512,,,,,,,109,0915TB117-_649,1.485,109740,skTREa
TRE,39635.305,3763133.396,10.513,,,,,,,109,0915TB117-_650,1.485,109741,skTREa
TRE,39635.112,3763134.355,10.5,,,,,,,109,0915TB117-_660,1.485,109751,skTREa
TRE,39635.043,3763134.198,10.495,,,,,,,109,0915TB117-_659,1.485,109750,skTREa
TRE,39634.483,3763133.391,10.514,,,,,,,109,0915TB117-_651,1.485,109742,skTREa
TRE,39634.436,3763134.144,10.491,,,,,,,109,0915TB117-_658,1.485,109749,skTREa
TRE,39634.364,3763133.481,10.502,,,,,,,109,0915TB117-_652,1.485,109743,skTREa
TRE,39634.323,3763134.321,10.49,,,,,,,109,0915TB117-_657,1.485,109748,skTREa
TRE,39632.97,3763133.366,10.489,,,,,,,109,0915TB117-_653,1.485,109744,skTREa
TRE,39632.914,3763134.212,10.486,,,,,,,109,0915TB117-_655,1.485,109746,skTREa
TRE,39632.82,3763133.657,10.489,,,,,,,109,0915TB117-_654,1.485,109745,skTREa
TRE,39632.793,3763134.444,10.491,,,,,,,109,0915TB117-_656,1.485,109747,skTREa
TRE,39632.195,3763133.652,10.483,,,,,,,109,0915TB117-_638,1.485,109729,skTREa
TRE,39632.071,3763134.386,10.486,,,,,,,109,0915TB117-_637,1.485,109728,skTREa
TRE,39015.885,3763211.088,9.469,,,,,,,109,0915TB120-_1569,1.485,110669,skTREa
TRE,39015.811,3763211.821,9.482,,,,,,,109,0915TB120-_1570,1.485,110670,skTREa
TRE,39014.39,3763211.71,9.415,,,,,,,109,0915TB120-_1571,1.485,110671,skTREa
TRE,39014.345,3763211.03,9.406,,,,,,,109,0915TB120-_1572,1.485,110672,skTREa
TRE,39013.918,3763211.101,9.394,,,,,,,109,0915TB120-_1573,1.485,110673,skTREa
TRE,39013.851,3763212.031,9.404,,,,,,,109,0915TB120-_1574,1.485,110674,skTREa
TRE,39013.418,3763210.276,9.365,,,,,,,109,0915TB120-_1578,1.485,110678,skTREa
TRE,39013.261,3763211.538,9.376,,,,,,,109,0915TB120-_1575,1.485,110675,skTREa
TRE,39012.408,3763210.153,9.317,,,,,,,109,0915TB120-_1577,1.485,110677,skTREa
TRE,39012.251,3763211.458,9.337,,,,,,,109,0915TB120-_1576,1.485,110676,skTREa
TRE,39012.087,3763209.949,9.308,,,,,,,109,0915TB120-_1579,1.485,110679,skTREa
TRE,39011.913,3763210.491,9.319,,,,,,,109,0915TB120-_1581,1.485,110681,skTREa
TRE,39011.736,3763210.117,9.3,,,,,,,109,0915TB120-_1580,1.485,110680,skTREa
TRE,38974.439,3763207.351,7.866,,,,,,,109,0915TB120-_1552,1.485,110652,skTREa
TRE,38974.392,3763207.989,7.855,,,,,,,109,0915TB120-_1553,1.485,110653,skTREa
TRE,38973.848,3763208.01,7.83,,,,,,,109,0915TB120-_1554,1.485,110654,skTREa
TRE,38973.743,3763207.305,7.834,,,,,,,109,0915TB120-_1555,1.485,110655,skTREa
TRE,38973.735,3763208.364,7.836,,,,,,,109,0915TB120-_1556,1.485,110656,skTREa
TRE,38973.396,3763207.474,7.819,,,,,,,109,0915TB120-_1560,1.485,110660,skTREa
TRE,38973.351,3763208.465,7.822,,,,,,,109,0915TB120-_1557,1.485,110657,skTREa
TRE,38973.252,3763208.153,7.806,,,,,,,109,0915TB120-_1558,1.485,110658,skTREa
TRE,38973.213,3763208.087,7.806,,,,,,,109,0915TB120-_1559,1.485,110659,skTREa
TRE,38971.975,3763207.317,7.754,,,,,,,109,0915TB120-_1561,1.485,110661,skTREa
TRE,38971.92,3763207.999,7.753,,,,,,,109,0915TB120-_1562,1.485,110662,skTREa
TRE,38971.629,3763208.229,7.75,,,,,,,109,0915TB120-_1563,1.485,110663,skTREa
TRE,38971.494,3763207.461,7.74,,,,,,,109,0915TB120-_1565,1.485,110665,skTREa
TRE,38970.954,3763207.518,7.722,,,,,,,109,0915TB120-_1566,1.485,110666,skTREa
TRE,38970.946,3763207.958,7.721,,,,,,,109,0915TB120-_1564,1.485,110664,skTREa
TRE,38970.656,3763207.067,7.717,,,,,,,109,0915TB120-_1568,1.485,110668,skTREa
TRE,38970.634,3763207.411,7.716,,,,,,,109,0915TB120-_1567,1.485,110667,skTREa
TP,41402.511,3762643.291,7.986,,,,,,,56,0911TB108-_663,1.485,101289,svPT
TP,41401.702,3762643.534,8.08,,,,,,,56,0911TB108-_664,1.485,101290,svPT
T-K,44533.74,3762714.197,201.657,,,,,,,28,0918LB90-_31,1.295,201361,kT
T-K,44533.652,3762715.101,201.559,,,,,,,28,0918LB90-_32,1.295,201362,kT
T-K,44532.769,3762714.106,201.592,,,,,,,28,0918LB90-_33,1.295,201363,kT
T-K,44531.371,3762717.733,201.488,,,,,,,28,0918LB90-_34,1.295,201364,kT
T-K,44531.278,3762717.716,201.486,,,,,,,28,0918LB90-_36,1.295,201366,kT
T-K,44530.282,3762716.621,201.553,,,,,,,28,0918LB90-_35,1.295,201365,kT
T-K,44525.112,3762724.636,201.259,,,,,,,28,0918LB90-_38,1.295,201368,kT
T-K,44522.719,3762723.433,201.253,,,,,,,28,0918LB90-_37,1.295,201367,kT
T-K,44518.554,3762731.942,201.001,,,,,,,28,0918LB90-_40,1.295,201370,kT
T-K,44517.88,3762727.845,201.067,,,,,,,28,0918LB90-_39,1.295,201369,kT
T-K,44511.704,3762739.592,200.723,,,,,,,28,0918LB90-_42,1.295,201372,kT
T-K,44508.492,3762737.007,200.736,,,,,,,28,0918LB90-_41,1.295,201371,kT
T-K,44505.532,3762746.412,200.479,,,,,,,28,0918LB90-_44,1.295,201374,kT
T-K,44503.481,3762730.458,200.461,,,,,,,28,0918LB90-_213,1.295,201543,kT
T-K,44502.719,3762731.119,200.559,,,,,,,28,0918LB90-_212,1.295,201542,kT
T-K,44501.04,3762743.933,200.461,,,,,,,28,0918LB90-_43,1.295,201373,kT
T-K,44498.273,3762754.514,200.161,,,,,,,28,0918LB90-_46,1.295,201376,kT
T-K,44495.656,3762737.813,200.291,,,,,,,28,0918LB90-_211,1.295,201541,kT
T-K,44493.122,3762751.302,200.134,,,,,,,28,0918LB90-_45,1.295,201375,kT
T-K,44492.074,3762761.332,199.932,,,,,,,28,0918LB90-_48,1.295,201378,kT
T-K,44488.132,3762744.863,200.019,,,,,,,28,0918LB90-_210,1.295,201540,kT
T-K,44486.23,3762757.774,199.867,,,,,,,28,0918LB90-_47,1.295,201377,kT
T-K,44485.573,3762768.317,199.677,,,,,,,28,0918LB90-_50,1.295,201380,kT
T-K,44481.263,3762751.307,199.75,,,,,,,28,0918LB90-_209,1.295,201539,kT
T-K,44479.752,3762774.537,199.457,,,,,,,28,0918LB90-_52,1.295,201382,kT
T-K,44479.295,3762764.258,199.604,,,,,,,28,0918LB90-_49,1.295,201379,kT
T-K,44475.626,3762790.877,198.754,,,,,,,28,0918LB90-_30,1.295,201360,kT
T-K,44475.387,3762792.053,198.82,,,,,,,28,0918LB90-_29,1.295,201359,kT
T-K,44473.977,3762758.065,199.469,,,,,,,28,0918LB90-_208,1.295,201538,kT
T-K,44473.197,3762781.543,199.205,,,,,,,28,0918LB90-_54,1.295,201384,kT
T-K,44471.883,3762771.142,199.331,,,,,,,28,0918LB90-_51,1.295,201381,kT
T-K,44471.377,3762796.241,198.693,,,,,,,28,0918LB90-_28,1.295,201358,kT
T-K,44467.031,3762764.607,199.196,,,,,,,28,0918LB90-_207,1.295,201537,kT
T-K,44465.246,3762777.375,199.079,,,,,,,28,0918LB90-_53,1.295,201383,kT
T-K,44464.862,3762790.513,198.869,,,,,,,28,0918LB90-_56,1.295,201386,kT
