115866,-3762987.442,-43155.464,172.391,EsvCABel
115864,-3763005.262,-43151.655,172.062,EsvCABel
102969,-3762933.936,-41376.814,83.589,EsvCABel
102971,-3762930.002,-41363.08,84.277,EsvCABel
102154,-3763302.498,-40951.356,42.145,svWTRM
103453,-3763367.368,-40859.363,50.901,svWTRM
102979,-3762807.49,-41403.898,2.888,vBSHD
102978,-3762808.654,-41400.869,4.322,vBSHD
102977,-3762814.234,-41399.347,4.527,vBSHD
102976,-3762823.839,-41398.607,4.532,vBSHD
102975,-3762834.096,-41397.564,4.488,vBSHD
102974,-3762842.634,-41396.663,4.553,vBSHD
102973,-3762854.567,-41395.348,4.792,vBSHD
102972,-3762863.541,-41394.0,4.86,vBSHD
206261,-3763189.521,-40110.371,30.608,fWT
206260,-3763188.395,-40109.716,31.327,fWT
113744,-3762492.177,-41591.786,35.835,tTF
113745,-3762491.76,-41591.531,35.83,tTF
113746,-3762492.539,-41591.227,35.503,tTF
113747,-3762492.183,-41590.94,35.52,tTF
101294,-3762644.04,-41403.208,7.949,tTF
101293,-3762643.656,-41403.045,7.947,tTF
101296,-3762644.364,-41402.519,8.055,tTF
104576,-3763503.494,-40657.934,65.516,skTREm
104575,-3763506.285,-40655.986,64.807,skTREm
104574,-3763507.716,-40653.997,64.919,skTREm
104573,-3763509.486,-40652.368,65.324,skTREm
104572,-3763511.751,-40649.869,64.955,skTREm
109731,-3763134.485,-39639.807,10.527,skTREa
109730,-3763133.757,-39639.801,10.535,skTREa
109732,-3763134.539,-39639.179,10.516,skTREa
109733,-3763134.622,-39639.023,10.508,skTREa
109735,-3763133.903,-39639.001,10.52,skTREa
109734,-3763134.623,-39637.671,10.507,skTREa
109736,-3763133.827,-39637.571,10.52,skTREa
109737,-3763134.068,-39637.366,10.518,skTREa
109738,-3763133.949,-39636.837,10.519,skTREa
109739,-3763133.71,-39636.669,10.521,skTREa
109753,-3763134.723,-39636.592,10.502,skTREa
109752,-3763134.562,-39636.551,10.503,skTREa
109740,-3763133.603,-39635.316,10.512,skTREa
109741,-3763133.396,-39635.305,10.513,skTREa
109751,-3763134.355,-39635.112,10.5,skTREa
109750,-3763134.198,-39635.043,10.495,skTREa
109742,-3763133.391,-39634.483,10.514,skTREa
109749,-3763134.144,-39634.436,10.491,skTREa
109743,-3763133.481,-39634.364,10.502,skTREa
109748,-3763134.321,-39634.323,10.49,skTREa
109744,-3763133.366,-39632.97,10.489,skTREa
109746,-3763134.212,-39632.914,10.486,skTREa
109745,-3763133.657,-39632.82,10.489,skTREa
109747,-3763134.444,-39632.793,10.491,skTREa
109729,-3763133.652,-39632.195,10.483,skTREa
109728,-3763134.386,-39632.071,10.486,skTREa
110669,-3763211.088,-39015.885,9.469,skTREa
110670,-3763211.821,-39015.811,9.482,skTREa
110671,-3763211.71,-39014.39,9.415,skTREa
110672,-3763211.03,-39014.345,9.406,skTREa
110673,-3763211.101,-39013.918,9.394,skTREa
110674,-3763212.031,-39013.851,9.404,skTREa
110678,-3763210.276,-39013.418,9.365,skTREa
110675,-3763211.538,-39013.261,9.376,skTREa
110677,-3763210.153,-39012.408,9.317,skTREa
110676,-3763211.458,-39012.251,9.337,skTREa
110679,-3763209.949,-39012.087,9.308,skTREa
110681,-3763210.491,-39011.913,9.319,skTREa
110680,-3763210.117,-39011.736,9.3,skTREa
110652,-3763207.351,-38974.439,7.866,skTREa
110653,-3763207.989,-38974.392,7.855,skTREa
110654,-3763208.01,-38973.848,7.83,skTREa
110655,-3763207.305,-38973.743,7.834,skTREa
110656,-3763208.364,-38973.735,7.836,skTREa
110660,-3763207.474,-38973.396,7.819,skTREa
110657,-3763208.465,-38973.351,7.822,skTREa
110658,-3763208.153,-38973.252,7.806,skTREa
110659,-3763208.087,-38973.213,7.806,skTREa
110661,-3763207.317,-38971.975,7.754,skTREa
110662,-3763207.999,-38971.92,7.753,skTREa
110663,-3763208.229,-38971.629,7.75,skTREa
110665,-3763207.461,-38971.494,7.74,skTREa
110666,-3763207.518,-38970.954,7.722,skTREa
110664,-3763207.958,-38970.946,7.721,skTREa
110668,-3763207.067,-38970.656,7.717,skTREa
110667,-3763207.411,-38970.634,7.716,skTREa
101289,-3762643.291,-41402.511,7.986,svPT
101290,-3762643.534,-41401.702,8.08,svPT
201361,-3762714.197,-44533.74,201.657,kT
201362,-3762715.101,-44533.652,201.559,kT
201363,-3762714.106,-44532.769,201.592,kT
201364,-3762717.733,-44531.371,201.488,kT
201366,-3762717.716,-44531.278,201.486,kT
201365,-3762716.621,-44530.282,201.553,kT
201368,-3762724.636,-44525.112,201.259,kT
201367,-3762723.433,-44522.719,201.253,kT
201370,-3762731.942,-44518.554,201.001,kT
201369,-3762727.845,-44517.88,201.067,kT
201372,-3762739.592,-44511.704,200.723,kT
201371,-3762737.007,-44508.492,200.736,kT
201374,-3762746.412,-44505.532,200.479,kT
201543,-3762730.458,-44503.481,200.461,kT
201542,-3762731.119,-44502.719,200.559,kT
201373,-3762743.933,-44501.04,200.461,kT
201376,-3762754.514,-44498.273,200.161,kT
201541,-3762737.813,-44495.656,200.291,kT
201375,-3762751.302,-44493.122,200.134,kT
201378,-3762761.332,-44492.074,199.932,kT
201540,-3762744.863,-44488.132,200.019,kT
201377,-3762757.774,-44486.23,199.867,kT
201380,-3762768.317,-44485.573,199.677,kT
201539,-3762751.307,-44481.263,199.75,kT
201382,-3762774.537,-44479.752,199.457,kT
201379,-3762764.258,-44479.295,199.604,kT
201360,-3762790.877,-44475.626,198.754,kT
201359,-3762792.053,-44475.387,198.82,kT
201538,-3762758.065,-44473.977,199.469,kT
201384,-3762781.543,-44473.197,199.205,kT
201381,-3762771.142,-44471.883,199.331,kT
201358,-3762796.241,-44471.377,198.693,kT
201537,-3762764.607,-44467.031,199.196,kT
201383,-3762777.375,-44465.246,199.079,kT
201386,-3762790.513,-44464.862,198.869,kT
201385,-3762782.435,-44460.277,198.9,kT
201536,-3762771.901,-44459.231,198.915,kT
201388,-3762796.542,-44459.143,198.654,kT
201357,-3762809.347,-44458.983,198.237,kT
201535,-3762772.487,-44458.284,198.875,kT
201387,-3762789.011,-44454.949,198.678,kT
201390,-3762803.496,-44452.583,198.411,kT
201534,-3762778.901,-44452.229,198.64,kT
201356,-3762816.846,-44451.854,197.974,kT
